User	Playlist	Track
Josh Kunze	2021 Stuff	mindchatter — Lee’s Last Dance (Mindchatter Cover),Mokita — Mokita & slenderbodies - speeding up,Model Man — Sweet Surrender,VOLO — With The Winds,Seth XVI — Underwater,xxyyxx — LUV U GRL,Makzo — Hanz & Makzo - Tall,KISLO — MANDALA,Robotaki — Weed Market,Sofia Kourtesis — La Perla (Tourist Remix),ViLLΛGE — YES AND,Mont Duamel — Eyes On You - Alternate Version,junior state — junior state - In The Wild,obli — Look,Fhin — fallin fallin (feat. sahara),CloZee — Winter Is Coming (Rome in Silver Remix),MILD MINDS — MACHINE,TSHA — I Know,Mounika. — WILDES - Bare (Mounika. Remix),Check Leopard — Ancona - Dipper,Photay — ODESZA - Falls Feat. Sasha Sloan (Photay Remix),fozsa — Mirage,Mont Duamel — Mont Duamel - Between Us,Gilligan Moss — Vibe Check,ford. — Living, Breathing,Bronze Whale — Let's Go Walk,quickly, quickly — 2M
Josh Kunze	Tunes?	Andrew Applepie — No ID,Klangstof — Death09,fozsa — Patch,Two Another — Another Night,Kungs — Kungs Vs. Cookin' On 3 Burners - This Girl,TSHA — Moon,DAMA DAMA — North Downs - Nightlife Blues,Two Feet — Pink,OUSKΛ — Nemir - Des Heures (Ouska Edit),junior state — Paw Prints,QUIET BISON — Stingray,Bronze Whale — Let's Go Walk,Caribou. — Caribou - You and I,BIIANCO — 13 DEAD END DRIVE (ft. Madame Gandhi),Møme — Sail Away,medasin — Melody X,Tora — Can't Buy The Mood (Two Another Remix),Robotaki — All I Can Do,Manila Killa — 1993,Flume — The Difference (feat. Toro y Moi),KAASI — Love Inn,DRAMA — Years,BRONSON — VAULTS,Cloudchord — Cloudchord, Birocratic, Ian Ewing - Twitter Telephone (feat Louis Futon, Dom Lalli and Martin Vogt),Jules Dubreuil — Azul,Louis Futon — Louis Futon - Ron Burgundy
Josh Kunze	Running Mixes	Marc Milou — Flume Quest Mix (BBC Radio 1) 11 - 12 - 2014,Big Wild — What Season is it Anyway? - Presented by Jiberish,ODESZA — NO.SLEEP - Mix.10,Neon Steve — Pleasensations Vol.4,Thomas ATOM — Mixed Moods 003 (September 2015),DJ pFeL — SEASON II,NEST HQ — NEST HQ MiniMix: Big Wild
Josh Kunze	Coffee Shop Music.	GRiZ — Summer '97 ft. Muzzy Bearr,The Geek x Vrv — Say It,Tropics — Popup Cinema,LEISURE — Got It Bad,Moods — Moods - New Horizon (New Horizons EP Out Now),Pretty Lights — Yellow Bird,20syl — Kyla La Grange - Cut Your Teeth ( 20syl Remix ),Esbe — Darling,Lowtemp Music — Gramatik - Muy Tranquilo,Shagabond — Electric Feel - Henry Green (Shagabond Edit),NoMBe — California Girls,Maribou State — Maribou State - Scarlett Groove (Feat. Saint Saviour),FKJ — Learn to Fly (feat. Jordan Rakei),Maribou State — Moon Circles,Havvks — Revival,DREAM KOALA — We Can't Be Friends.,Bearcubs — ODESZA - All We Need (ft. Shy Girls) (Bearcubs Remix),SNAKEHIPS — Bondax - Gold (Snakehips Bootleg),Daniel Loumpouridis — Erase Me (feat. Ava Lake and Maizy Lind),BRAINFEEDER — Taylor McFerrin - The Antidote (feat. Nai Palm),Gangplans — Summer Lane (feat. Owenstone),SOULECTION — Tom Misch - The Journey,Broke For Free — Broke For Free - The Gold Lining,Louis Futon — Phony Ppl - End Of The Night (Louis Futon Remix) [Free Download],koji. — Bhudda Monk In Ya Trunk,Caius — Things Gonna Be Okay,origami PRODUCTIONS — drawing (Kan Sano Remix),Emprise — Møme - Edelweiss,20syl — Unknown Mortal Orchestra - Multi-Love (20syl Remix),Brock Berrigan — The Night is Young,Big Wild — Griz ft. Talib Kweli - For the Love (Big Wild Remix),Poldoore — In Your Head,BRAINFEEDER — TOKiMONSTA - Bright Shadows,Ta-ku — Knightime,Star Slinger — Star Slinger - Moet & Reese,medasin — Coffee (Ft. Masego),SOULECTION — Louie Lastic - Say Yes,Roche Musique — Darius & FKJ - Ô,Tom Misch — Dawsons Heights,TEK.LUN — Beggin',The Geek x Vrv — THE GEEK x VRV - it's because,Flamingosis — Great Hair,Edamame — Edamame x Big Jackson - Think Of You,alaya — Flamingosis - Road Trip to Sao Paulo (feat. Khüdosóul),Thomas ATOM — UZS
Josh Kunze	Influential Tunes.	Flume — Ta-ku - Higher (Flume Remix) [FREE DOWNLOAD],Big Wild — Sylvan Esso - Hey Mami (Big Wild Remix),Uppermost — Beautiful Light,cln — cln - Better Than (Feki Remix),Star Slinger — Harrison - You're Light (Feat. Maddee)(Star Slinger Remix),Lewis Del Mar — Wave(s),KAASI — Work With Me,Major Lazer — Major Lazer - Be Together (feat. Wild Belle),Lil Silva — Lil Silva - Right For You (Ft. BANKS),Caribou. — Can't Do Without You,Play Nice — beshken & Sspencer - Want,Hippie Sabotage — WAITING TOO LONG,Lil Silva — Lil Silva - Don't You Love (Feat. BANKS),chrome sparks — Marijuana,future classic — Hayden James - Permission To Love,Tom Misch — Beautiful Escape (feat. Zak Abel),Star Slinger — The Morning Benders - Cold War (Star Slinger Remix) buy & support japan,Fakear — Two Arms Around You (feat O'Kobbo),CATCHING FLIES — Sunrays,SBTRKT — Resolute,ghostly — Shigeto - Ringleader,Mount Kimbie — Mount Kimbie - Made To Stray,RATATAT — One,Nick Lynar — Stacks,ghostly — Lusine - February,Four Tet — Lion (Jamie xx remix),Ta-ku — Knightime,PETIT BISCUIT — YOU,Maribou State — Ultraista - Gold Dayzz (Maribou State Remix),NOSAJ THING — Nosaj Thing x Chance The Rapper - Paranoia,Havvks — Revival,Pascäal — Drowning in you,Insightful — Moth Mother,Major Lazer — Get Free (feat. Amber of Dirty Projectors),Flight Facilities — Flight Facilities - Clair De Lune (feat. Christine Hoberg),Evenings — Alcyone,Jai Paul — Jai Paul - BTSTU (Edit Clean),Galimatias — Galimatias - Ocean Floor Kisses,Flume — Warm Thoughts,BeachesBeaches — Nomadic Firs-Cover Bombs(Odesza Edit),Rudimental — Rudimental - Not Giving In (feat. John Newman & Alex Clare) (Bondax Remix),Vacationer — Trip,Tycho — Awake,Tenru — The Way She Moves,Kyson — TomDay X Monsoonsiren - We Watched The Clouds Form Shapes (Kyson Remix)
Josh Kunze	Heavy Patterns.	"Ramzoid — Coconut,Esbe — Thousands Of Rhythms,Axel Thesleff — Bad Karma,Lxury — Neighbour,Romare — Jimmy,GOLDWATER — throw it,koji. — Conceptualeyes,Jai Paul — Jai Paul - BTSTU (Edit Clean),Zuper — Want To,Whethan — Mssingno - XE3 (Whethan Turn),Maribou State — Four Tet - TEXT022 (Maribou State Edit),PROJECT MOONCIRCLE — Long Arm ""When Children Sleep (Empt Remix)"" (Project: Mooncircle, 2012) via XLR8R,Piet Row — shimmer,aywy — aywy & Ekali - Your Love,IMLAY — IMLAY - Gaze (Original Mix),alaya — Auram & Kyross - Nothing Else,SVNSET WAVES — Geven - Paradigm,Pilerats Records — Electric Mantis - Ticking And Tocking,Ben Khan — Ben Khan - Eden,Louis Futon — Front Porch Swing,TISH VAIR — CEILING TASTE,S O M I C O — Moonkay // About The Time (CARTER JUNCAL EDIT),Sángo — SNS (Instrumental),Luvian Sound — Atlas - Closer (Luvian Remix),Big Wild — To the Left,Uppermost — Fly,IONA — Djemba Djemba - Macking In The Car (I Don't Drive) (ADUSTIO Remix)DL in DESC,Refinements — Neave - Audrey,youtellme — Daktyl - Jungle Pips,Eton Messy Records — Affelaye - This Could Be [EM Download],Bondax — All I Want,LFTF — Lucas - Blessed,Shagabond — Archive,trapdoor — MISOGI - Lantana,Ormiston — (Beverlay)Typically her (KAYTRANADA EDITION),terrorhythm — Daffy x Maxx Baer - Everything,Mourn — Street Beat,UntilTheRibbonBreaks — Pressure (Ta-ku Remix),Astro Nautico — Photay - No Sass,Flirtini — Zeppy Zep - Can't Help Myself (from Heartbreaks & Promises vol. 2),XLR8R — Real Cosby - What It Feels,canvas — Empt - Goombadi,Point Point — Point Point - Life In Grey,youtellme — SYRE - Bassline,Daktyl — Daktyl & Fitzroy - Why You"
Josh Kunze	Lifting Harmonics.	"The Good Year — FLARES,-scholar- — Skin,S O M I C O — Fluss x Moonkay // Regret Needing You |SSS022|,chrome sparks — Losing U,CATCHING FLIES — Sunrays,Tenru — Reflect (feat. Phoenix Pearle),NJORD — do you remember those night walks?,ODESZA — Sundara,MUNNO — evenings - friend (munno remix),Redw00d — T R A N S C E N D (feat. Slumber Tides),Broke For Free — XXV,Oimactta — DMT,chrome sparks — Blackbird Blackbird- Hawaii (Chrome Sparks Remix),nuages — wait,Create & Explore — 002 - Insightful x Fursty,PETIT BISCUIT — YOU,Erased Tapes — Kiasmos - Burnt,WoodzSTHLM — Reaching (Feat. Ian Boom & Olle Grafström),OVRJYD — James Vincent McMorrow - Cavalier (OVRJYD Edit),Yes Please — I'lls - Mine's Here or My End's Here or Nineteen (Naysayer & Gilsun Remix),Insight Music — OVRJYD - Canopy,cambio sun — Weight of the World,Origami Sound — Kitkaliitto - Twin Suns,Oisima — Where The Light Is (Kyson Remix),Feverkin — Of The Wrist,Stoney Roads Records — La Mar - Anchor (Mazde Remix),CHANTS — Ice Harvesting (Echo Island remix),Sun Glitters — Sun Glitters - Tight (7"" on Lefse Records, 18th of December 2012),Christian Löffler — Mt. Grace,Tigerz — The Sparkle,Bruised Skies — TWOS & Bruised Skies - Too Much,Slow Magic — ☾,AFTER EATING — Ur Stroke,The Bear and the Sea — Sandblonde,kadugodi — Lucky,Bad Panda — Koloto - Fox Tales,tomday — Tom Day & Laura Lethlean - You,Rat & Co — Fourth Sun,Tora — Overcome feat. Merryn Jeann,Dealer de Musique — Imagined Herbal Flows - Floating,dirtywolf — Okinawa Lifestyle - Nii,UntilTheRibbonBreaks — 2025 (ALFi Remix),Liam Back — Liam Back - Sushi & Wine,Okinawa Lifestyle — Golden Dress,Detail Records — Yujen - Heirloom"
Josh Kunze	Upbeat Vocals.	"What So Not — What So Not - Touched (Original),Kilter — What I Might Do (Kilter Remix) - Ben Pearce,Star Slinger — Harrison - You're Light (Feat. Maddee)(Star Slinger Remix),Yahtzel — If You Leave,Alison Wonderland — Alison Wonderland - I Want U (GANZ Flip),SWEATER BEATS — Hermitude - The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix),Major Lazer — Major Lazer - Be Together (feat. Wild Belle),Keljet — AYER - Circle Down (Keljet Remix),bitbird — Sjaaf - Fellow World,Khamsin — Grimes - Go (Muneshine X Khamsin Remix),Young Franco — Close 2 U (ft. JOY.),Karma Kid — Between Sheets,Two Can — Fire,Feki — Nothing Lasts Forever,Autograf — Odesza - All We Need (Autograf Remix),20syl — Chinese Puzzle (20syl Remix),Big Wild — Sylvan Esso - Hey Mami (Big Wild Remix),Peking Duk — High (feat. Nicole Millar),WEKEED — Wild Child,Elliot Moss — Slip – Hippie Sabotage Remix,Chateau Marmont — Joey Bada$$ - Teach Me (Chateau Marmont Remix),RKCB — Elision,future classic — Touch Sensitive - Pizza Guy,future classic — Hayden James - Something About You,Rusty Hook — Jacob Banks - Worthy (Chahine & Rusty Hook Flip),delamare — Manila Killa - 2h Du Matin (Delamare Remix),GoldLink — Bedtime Story [Prod. Louie Lastic],Kitsuné Musique — ViLLAGE - ""The Touch VIP"",Slow Magic — Girls,The Kite String Tangle — Given The Chance,Flume — Collarbones - Turning (Flume Remix),future classic — Touch Sensitive - Slowments,Foreign Family Collective — Big Wild - Aftergold,FELIX CARTAL — Felix Cartal - New Scene (TOKiMONSTA Remix),Kitsuné Musique — Fakear - ""Interstellar"",Gramatik — Gramatik - So Much For Love,Renz — Pineapples,Vindata — Keep On,Ouici — The Farewell,Yahtzel — High With Me,i-D — Exclusive: Flume - Insane ft. Moon Holiday (L D R U Remix),Daktyl — Daktyl - Salters (feat. Jennifer Akerman),What So Not — 'High You Are' (WSN Club Dub),Louis The Child — SoySauce - Broken Record (feat. Joni Fatora) (Louis The Child Remix),C2C — Disclosure - When a Fire Starts to Burn (C2C Remix)"
Josh Kunze	Classy Melodies.	Darius (Official) — Espoir,KAASI — Work With Me,Inspected — Sorrow - No More Hesitation (feat. CYN),Maribou State — Moon Circles,Play Nice — DIVERSA - ChillBot,Flight Facilities — Flight Facilities - Clair De Lune (feat. Christine Hoberg),Louis Mattrs — Louis Mattrs - Oops x Wus Good,chrome sparks — goddess,Elènne — Elènne - Abacus [preview],Phonat — Andrew Bayer - Need Your Love (Phonat Remix),loston — James Blake - Retrograde (Loston Rework),GoldLink — Sober Thoughts,Ta-ku — I Miss You,Jacques Greene — On Your Side ft How To Dress Well,Tora — Never With Me Ft. Merryn Jeann & Meals,Brendan Angelides — 2014 David Douglas - Sweet Moonflower (Eskmo Remix),Ambassadeurs — HyperColor,Clark — Nathan Fake - Fentiger (Clark Remix),Vindata — All I Really Need (Featuring Kenzie May),Sitkah — Sara,Flume — Flume - Left Alone feat. Chet Faker (Ta-ku Remix),Sángo — Waldo - Kobe's Room (Truth Be Told) (Prod. by Sango),TWОS — TWOS x Tours - As We Strive,BLACKBIRD BLACKBIRD — Refresh,Mr Little Jeans — Suburbs,SOULECTION — Ta-ku - ONEFORTREY (FREE DL),Chet Faker — Talk Is Cheap,Tropics — POLIÇA - Wandering Star (Tropics Remix),NOSAJ THING — Nosaj Thing x Chance The Rapper - Paranoia,stereoclip — Stereoclip - Easy Field,Fabian Luttenberger — I Know,FoF Music — Shlohmo - Rained The Whole Time (Nicolas Jaar Remix),Ambassadeurs — M.O.P.E,Bodhi — Sampha - Without (Bodhi Remix) [FREE DL],shlohmo — Jeremih - Fuck U All The Time (Shlohmo Remix),Yahtzel — Rules - I'mpatient (Yahtzel Remix),Uppermost — Discover Life,Recordiau Lliwgar — Ifan Dafydd - Celwydd (feat. Alys Williams),Ninja Tune — Raffertie - 'Rain' (Teebs Remix),FKJ — Instant Need,Lxury — Raid (Preview),Point Point — Point Point - Morning BJ,YOUNG & SICK — Heartache Fetish (Ta-ku Rework),clammyclams — I'm God [Lil B],Analog | Division — James Blake |  I Mind REMIX (Produced By 8t8)
Josh Kunze	Cinematic Beats.	Ta-ku — Night 18,Origami Sound — ViLLAGE - Mojo,Kyson — TomDay X Monsoonsiren - We Watched The Clouds Form Shapes (Kyson Remix),Jupiter Himself — Arian Cook - K Y Y  [SORA's Slowcruise Version],CATCHING FLIES — The Long Journey Home,BRAINFEEDER — Teebs - View Point,Pascäal — Drowning in you,Edamame — Turquoise,ultraísta — Gold Dayzz (Maribou State remix),Twiggy Lashes. — GOODBYE,Fakear — Life In Grey (Fakear Remix),SBTRKT — Kyoto,Ambassadeurs — Ignite,nuages — wait,ghostly — Shigeto - Ringleader,Maribou State — Maribou State - Larks Rise,Bad Panda — Jagan Mai - Envy,Lynchy dada — Gray ( FluΔ Remix ),Juj — Mbira Spirit,Ben Jamin — Wanabee.,Moon Bounce — Shake (Sun Glitters Remix),PANTA RAY — Exempt - Promised You,A.M. Architect — Delicatessen,FlyEternally — ESCPE - Back Shore (Out Now!!),Valentin Stip — Nwia,Parra for Cuva — Solo for Lotus - Parra for Cuva feat Anna,Tiger Tsunami — Antarctica,SELA. — Maya,Chet Faker — Cigarettes and Chocolate,ll(╥﹏╥)ll — Meesha_Lapses,Giraffage — Feels,Phoria — Emanate,Bad Panda — Yujen - Heirloom,ODESZA — ODESZA - Don't Stop,Tenru — The Way She Moves,A.M. Architect — Right Hand (Shorthand Edit),DREAM KOALA — Odyssey,ODESZA — ODESZA - How Did I Get Here,alphabetsheaven — Julien Mier - Je t'ecoute  (Alphabets Heaven Remix),Nyanara — For A Moment I Was There,Inspected — Sorrow - Never Too Far,Tora — Calming Her,Kill Them With Colour — ASAP Rocky x Cinematic Orchestra x Swv - Phoenix (Kill Them With Colour Remix),HOUNDED — Us,NoMBe — Vowels
